GEOID,NAME,state_name,poverty_universe_total,below_50pct_poverty,50_to_99pct_poverty,total_households,snap_households,median_household_income,race_total,white_non_hispanic,black_alone,asian_alone,hispanic_latino,poverty_rate_pct,snap_rate_pct
36001000100,Census Tract 1; Albany County; New York,New York,2251,238,403,811,210,44547,2259,725,982,30,346,28.48,25.89
36001000201,Census Tract 2.01; Albany County; New York,New York,2465,358,396,1182,360,33688,2465,372,1742,102,174,30.59,30.46
36001000202,Census Tract 2.02; Albany County; New York,New York,2369,691,77,1205,456,32585,2374,317,1952,0,45,32.42,37.84
36001000301,Census Tract 3.01; Albany County; New York,New York,2837,513,408,1146,545,43214,2837,678,1271,4,673,32.46,47.56
36001000302,Census Tract 3.02; Albany County; New York,New York,3151,176,462,1786,214,50875,3200,1963,538,139,183,20.25,11.98
36001000401,Census Tract 4.01; Albany County; New York,New York,1871,81,73,959,20,76641,2301,2012,134,18,98,8.23,2.09
36001000403,Census Tract 4.03; Albany County; New York,New York,4348,417,314,2273,202,77468,4348,3002,602,411,154,16.81,8.89
36001000404,Census Tract 4.04; Albany County; New York,New York,23,0,0,15,0,108750,5126,2569,1007,308,981,0.0,0.0
36001000501,Census Tract 5.01; Albany County; New York,New York,3440,961,850,1660,655,16585,3471,992,1291,193,594,52.65,39.46
36001000502,Census Tract 5.02; Albany County; New York,New York,1992,410,266,1003,118,60174,3788,2101,635,385,398,33.94,11.76
36001000600,Census Tract 6; Albany County; New York,New York,3352,1150,566,1365,367,22417,3352,922,1046,975,321,51.19,26.89
36001000700,Census Tract 7; Albany County; New York,New York,3567,157,978,1341,480,44811,3733,449,2314,55,248,31.82,35.79
36001000800,Census Tract 8; Albany County; New York,New York,1800,157,512,809,483,29188,1800,134,1126,70,200,37.17,59.7
36001001100,Census Tract 11; Albany County; New York,New York,2117,367,390,1174,322,46701,2143,1233,686,18,151,35.76,27.43
36001001400,Census Tract 14; Albany County; New York,New York,4054,347,219,2617,178,63211,4054,2923,351,305,271,13.96,6.8
36001001500,Census Tract 15; Albany County; New York,New York,5186,1271,727,2408,369,37384,5198,3121,942,529,397,38.53,15.32
36001001600,Census Tract 16; Albany County; New York,New York,4319,522,234,1873,341,59795,4759,2588,678,561,418,17.5,18.21
36001001700,Census Tract 17; Albany County; New York,New York,4107,209,161,2070,216,80965,4223,2711,865,404,128,9.01,10.43
36001001802,Census Tract 18.02; Albany County; New York,New York,4042,292,292,1984,266,63942,4042,3181,542,90,105,14.45,13.41
36001001803,Census Tract 18.03; Albany County; New York,New York,3608,117,31,1898,58,105972,3608,3133,85,156,83,4.1,3.06
36001001804,Census Tract 18.04; Albany County; New York,New York,3462,232,140,1694,69,101898,3522,2459,443,283,304,10.75,4.07
36001001901,Census Tract 19.01; Albany County; New York,New York,2523,111,7,1220,15,85611,2531,2139,75,168,60,4.68,1.23
36001001902,Census Tract 19.02; Albany County; New York,New York,2470,40,51,1113,50,94550,2470,1783,190,233,144,3.68,4.49
36001002000,Census Tract 20; Albany County; New York,New York,6547,199,701,2534,573,72370,6576,2846,1460,570,1562,13.75,22.61
36001002100,Census Tract 21; Albany County; New York,New York,2445,575,245,1283,166,36569,3317,1932,340,454,239,33.54,12.94
36001002200,Census Tract 22; Albany County; New York,New York,2409,114,307,1404,158,42941,2409,1773,326,116,164,17.48,11.25
36001002300,Census Tract 23; Albany County; New York,New York,1971,480,135,1211,217,41949,1971,476,846,192,390,31.2,17.92
